-1,city,lat,lng,country
455,Kuldīga,56.9690,21.9680,Latvia
456,Pāvilosta,56.8898,21.1817,Latvia
457,Piņķi,56.9419,23.9137,Latvia
458,Ādaži,57.0705,24.3371,Latvia
459,Kandava,57.0389,22.7724,Latvia
460,Roja,57.5015,22.8088,Latvia
461,Carnikava,57.1293,24.2842,Latvia
462,Garkalne,57.0449,24.4195,Latvia
463,Saulkrasti,57.2599,24.4189,Latvia
464,Smārde,56.9533,23.3387,Latvia
465,Mērsrags,57.3364,23.1235,Latvia
466,Talsi,57.2465,22.5876,Latvia
467,Jūrmala,56.9567,23.7233,Latvia
468,Mārupe,56.9032,24.0467,Latvia
469,Ulbroka,56.9363,24.3039,Latvia
470,Zilupe,56.3860,28.1218,Latvia
471,Ludza,56.5396,27.7189,Latvia
472,Dagda,56.0961,27.5328,Latvia
473,Baltinava,56.9439,27.6440,Latvia
474,Cibla,56.5498,27.8837,Latvia
475,Kārsava,56.7874,27.6732,Latvia
476,Riga,56.9500,24.1000,Latvia
477,Krāslava,55.8969,27.1720,Latvia
478,Limbaži,57.5130,24.7240,Latvia
479,Preiļi,56.2940,26.7248,Latvia
480,Vecvārkava,56.1984,26.5081,Latvia
481,Ilūkste,55.9779,26.2978,Latvia
482,Nīca,56.3456,21.0646,Latvia
483,Bauska,56.4079,24.1944,Latvia
484,Viļaka,57.1843,27.6719,Latvia
485,Līvāni,56.3567,26.1761,Latvia
486,Alūksne,57.4216,27.0466,Latvia
487,Rēzekne,56.5000,27.3166,Latvia
488,Rugāji,57.0033,27.1337,Latvia
489,Riebiņi,56.3403,26.7999,Latvia
490,Viļāni,56.5505,26.9298,Latvia
491,Varakļāni,56.6091,26.7547,Latvia
492,Ape,57.5394,26.6940,Latvia
493,Madona,56.8510,26.2184,Latvia
494,Jaunpiebalga,57.1775,26.0284,Latvia
495,Lubāna,56.9043,26.7161,Latvia
496,Gulbene,57.1734,26.7527,Latvia
497,Balvi,57.1287,27.2700,Latvia
498,Aknīste,56.1615,25.7482,Latvia
499,Viesīte,56.3465,25.5581,Latvia
500,Cesvaine,56.9675,26.3076,Latvia
501,Ķegums,56.7455,24.7250,Latvia
